parelhos Elétricos,"Dias Estimados
Uso/Mês","Média
Utilização/Dia","Consumo Médio Mensal
(kWh)"
Aparelho de blu ray,8,2 h,"0,19"
Aparelho de DVD,8,2 h,"0,24"
Aparelho de som,20,3 h,"6,6"
Aquecedor de ambiente,15,8 h,"193,44"
Aquecedor de mamadeira,30,15 min,"0,75"
Aquecedor de marmita,20,30 min,"0,6"
Ar-condicionado tipo janela menor ou igual a 9.000 BTU/h,30,8 h,"128,8"
Ar-condicionado tipo janela de 9.001 a 14.000 BTU/h,30,8 h,"181,6"
Ar-condicionado tipo janela maior que 14.000 BTU/h,30,8 h,374
Ar-condicionado tipo split menor ou igual a 10.000 BTU/h,30,8 h,"142,28"
Ar-condicionado tipo split de 10.001 a 15.000 BTU/h,30,8 h,"193,76"
Ar-condicionado tipo split de 15.001 a 20.000 BTU/h,30,8 h,"293,68"
Ar-condicionado tipo split de 20.001 a 30.000 BTU/h,30,8 h,"439,2"
Ar-condicionado tipo split maior que 30.000 BTU/h,30,8 h,"679,2"
Aspirador de pó,30,20 min,"7,17"
Batedeira,8,20 min,"0,4"
Boiler elétrico de 200 L,30,24 h,"346,75"
Bomba d'água 1/2 cv,30,30 min,"7,2"
Bomba d'água 1/3 cv,30,30 min,"6,15"
Cafeteira elétrica,30,1 h,"6,56"
Cafeteira expresso,30,1 h,"23,82"
Chaleira elétrica,30,1 h,"28,23"
Churrasqueira elétrica,5,4 h,76
Chuveiro elétrico - 4500 W,30,32 min,72
Chuveiro elétrico - 5500 W,30,32 min,88
Computador,30,8 h,"15,12"
Enceradeira,2,2 h,"1,8"
Espremedor de frutas,20,10 min,"0,18"
Exaustor fogão,30,2 h,"9,96"
Fax modem em stand by,30,24 h,"2,16"
Ferro elétrico automático a seco - 1050 W,12,1 h,"2,4"
Ferro elétrico automático a vapor - 1200 W,12,1 h,"7,2"
"Fogão elétrico - cook top
(por queimador)",30,1 h,"68,55"
Forno elétrico,30,1 h,15
Forno micro-ondas - 25 L,30,20 min,"13,98"
Freezer vertical/horizontal,30,24 h,"47,55"
Freezer vertical frost free,30,24 h,54
Frigobar,30,24 h,"18,9"
Fritadeira elétrica,15,30 min,"6,81"
Furadeira,4,1 h,"0,94"
Geladeira 1 porta,30,24 h,"25,2"
Geladeira 1 porta frost free,30,24 h,"39,6"
Geladeira 2 portas,30,24 h,"48,24"
Geladeira 2 portas frost free,30,24 h,"56,88"
Grill,10,30 min,"3,2"
Home theater - 350 W,8,2 h,"5,6"
Impressora,30,1 h,"0,45"
Lâmpada fluorescente compacta - 11 W,30,5 h,"1,65"
Lâmpada fluorescente compacta - 15 W,30,5 h,"2,25"
Lâmpada fluorescente compacta - 23 W,30,5 h,"3,45"
Lâmpada incandescente - 40 W,30,5 h,6
Lâmpada incandescente - 60 W,30,5 h,9
Lâmpada incandescente - 100 W,30,5 h,15
Lavadora de louças,30,40 min,"30,86"
Lavadora de roupas,12,1 h,"1,76"
Liquidificador,15,15 min,"0,8"
Máquina de costura,10,3 h,3
Modem de internet,30,8 h,"1,92"
Monitor,30,8 h,"13,2"
Monitor LCD,30,8 h,"8,16"
Multiprocessador,20,1 h,"8,56"
Nebulizador,16,"2,5 h","1,68"
Notebook,30,8 h,"4,8"
Panela elétrica,20,1 h,22
Prancha (chapinha),20,30 min,"0,33"
Projetor,20,1 h,"4,78"
Rádio elétrico pequeno,30,10 h,"1,5"
Rádio relógio,30,24 h,"3,6"
Roteador,30,8 h,"1,44"
Sanduicheira,30,10 min,"3,35"
Scanner,30,1 h,"0,27"
Secador de cabelo - 1000 W,30,10 min,"5,21"
Secadora de roupa,8,1 h,"14,92"
Tanquinho,12,1 h,"0,84"
Telefone sem fio,30,24 h,"2,16"
Torneira elétrica - 3250 W,30,30 min,"48,75"
Torradeira,30,10 min,4
"TV em cores - 14"" (tubo)",30,5 h,"6,3"
"TV em cores - 29"" (tubo)",30,5 h,"15,15"
"TV em cores - 32"" (LCD)",30,5 h,"14,25"
"TV em cores - 40"" (LED)",30,5 h,"12,45"
"TV em cores - 42"" (LED)",30,5 h,"30,45"
TV portátil,30,5 h,"7,05"
Ventilador de mesa,30,8 h,"17,28"
Ventilador de teto,30,8 h,"17,52"
Videogame,15,4 h,"1,44"
